index,51,53,54,55,56,57,58,59
D_0__Bacteria;D_1__Acidobacteria,1363,1981,2257,2105,1469,1459,1447,3109
D_0__Bacteria;D_1__Actinobacteria,2216,2318,3107,2695,2211,1104,1846,3632
D_0__Bacteria;D_1__Armatimonadetes,40,3,4,10,37,29,207,14
D_0__Bacteria;D_1__BJ-169,8,20,0,0,0,0,0,2
D_0__Bacteria;D_1__BRC1,3,5,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes,2739,2848,1789,2214,2284,4677,3297,1723
D_0__Bacteria;D_1__Candidatus Berkelbacteria,3,4,0,0,5,4,0,0
D_0__Bacteria;D_1__Chlamydiae,39,14,24,1,23,34,12,4
D_0__Bacteria;D_1__Chlorobi,57,55,17,35,11,98,86,7
D_0__Bacteria;D_1__Chloroflexi,430,437,527,335,343,265,438,547
D_0__Bacteria;D_1__Cyanobacteria,18,3,28,46,9,331,1,30
D_0__Bacteria;D_1__Deinococcus-Thermus,14,17,0,0,0,23,19,0
D_0__Bacteria;D_1__Elusimicrobia,2,7,16,11,30,0,3,9
D_0__Bacteria;D_1__FBP,11,16,0,0,12,23,11,0
D_0__Bacteria;D_1__Fibrobacteres,44,37,30,56,41,95,189,23
D_0__Bacteria;D_1__Firmicutes,112,235,22,66,66,84,79,257
D_0__Bacteria;D_1__Gemmatimonadetes,274,151,126,107,664,187,533,99
D_0__Bacteria;D_1__Gracilibacteria,4,0,0,0,0,3,2,0
D_0__Bacteria;D_1__Hydrogenedentes,4,3,2,0,6,0,0,3
D_0__Bacteria;D_1__Ignavibacteriae,0,0,0,13,0,0,0,0
D_0__Bacteria;D_1__Latescibacteria,0,0,30,8,0,5,0,68
D_0__Bacteria;D_1__Microgenomates,11,0,0,0,3,0,0,0
D_0__Bacteria;D_1__Nitrospirae,16,75,146,127,13,51,13,74
D_0__Bacteria;D_1__Omnitrophica,0,5,0,0,0,40,0,0
D_0__Bacteria;D_1__Parcubacteria,309,60,35,16,172,55,179,37
D_0__Bacteria;D_1__Peregrinibacteria,1,4,0,0,0,5,0,0
D_0__Bacteria;D_1__Planctomycetes,644,391,746,537,393,626,745,602
D_0__Bacteria;D_1__Proteobacteria,7595,8044,7492,8094,8661,7175,7235,6742
D_0__Bacteria;D_1__SR1 (Absconditabacteria),7,0,0,0,0,20,0,0
D_0__Bacteria;D_1__Saccharibacteria,309,196,60,32,414,78,116,35
D_0__Bacteria;D_1__Spirochaetae,0,0,6,6,0,34,0,0
D_0__Bacteria;D_1__TM6 (Dependentiae),3,10,4,0,21,5,0,0
D_0__Bacteria;D_1__Tectomicrobia,0,0,0,14,0,0,0,12
D_0__Bacteria;D_1__Verrucomicrobia,1500,861,1332,1272,912,1290,1329,771
D_0__Bacteria;D_1__WS2,16,0,0,0,0,0,0,0
D_0__Bacteria;D_1__WS6,8,0,0,0,0,0,13,0
