index,51,53,54,55,56,57,58,59
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteria,0,0,0,27,199,0,12,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia,432,390,99,295,108,676,779,216
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,99,227,185,212,509,106,11,121
D_0__Bacteria;D_1__Acidobacteria;D_2__Solibacteres,220,153,114,167,328,200,137,181
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11,0,8,38,27,0,0,0,29
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,5,0,65,44,0,37,0,41
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18,0,0,0,5,0,0,0,12
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 2,1,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 20,0,0,0,4,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,0,0,12,31,0,0,0,38
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 25,0,5,18,3,0,0,0,11
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5,1,50,29,47,15,0,10,73
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,605,1148,1679,1243,310,440,498,2387
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 9,0,0,18,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,164,148,520,322,139,145,85,394
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,1721,1842,1209,1284,1376,674,1429,1838
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,0,0,4,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,0,18,254,190,0,8,0,229
D_0__Bacteria;D_1__Actinobacteria;D_2__TakashiAC-B11,0,3,0,0,0,0,0,28
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,331,307,1120,899,696,277,332,1143
D_0__Bacteria;D_1__Armatimonadetes;D_2__Armatimonadia,12,0,0,0,0,24,40,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Chthonomonadetes,9,0,4,5,13,0,27,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,6,0,0,5,0,5,140,14
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured,13,3,0,0,24,0,0,0
D_0__Bacteria;D_1__BJ-169;D_2__uncultured bacterium,8,20,0,0,0,0,0,2
D_0__Bacteria;D_1__BRC1;Ambiguous_taxa,3,5,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis,0,0,0,0,0,0,3,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes VC2.1 Bac22,9,0,0,5,0,0,10,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes vadinHA17,0,0,1,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Cytophagia,637,1114,883,558,300,1724,741,839
D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia,285,261,90,60,121,986,561,41
D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia,1804,1473,809,1591,1863,1949,1978,843
D_0__Bacteria;D_1__Bacteroidetes;__,4,0,6,0,0,18,4,0
D_0__Bacteria;D_1__Candidatus Berkelbacteria;D_2__uncultured bacterium,2,4,0,0,0,4,0,0
D_0__Bacteria;D_1__Candidatus Berkelbacteria;D_2__uncultured soil bacterium,0,0,0,0,3,0,0,0
D_0__Bacteria;D_1__Candidatus Berkelbacteria;__,1,0,0,0,2,0,0,0
D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae,39,14,24,1,23,34,12,4
D_0__Bacteria;D_1__Chlorobi;D_2__Chlorobia,57,55,17,35,11,98,86,7
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,73,150,85,23,48,39,112,46
D_0__Bacteria;D_1__Chloroflexi;D_2__Ardenticatenia,1,6,0,2,0,0,0,0
D_0__Bacteria;D_1__Chloroflexi;D_2__Caldilineae,26,30,53,56,31,65,96,56
D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,21,19,46,79,20,56,101,35
D_0__Bacteria;D_1__Chloroflexi;D_2__Gitt-GS-136,2,0,0,0,0,0,0,17
D_0__Bacteria;D_1__Chloroflexi;D_2__JG30-KF-CM66,3,12,37,0,0,0,0,26
D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,81,87,244,123,30,0,38,240
D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria,69,18,0,14,54,3,58,0
D_0__Bacteria;D_1__Chloroflexi;D_2__S085,47,65,0,0,32,0,0,37
