index,51,53,54,55,56,57,58,59
D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteria;D_3__Acidobacteriales,0,0,0,27,199,0,12,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia;D_3__Blastocatellales,432,390,99,295,108,676,779,216
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 10,56,81,55,62,499,87,0,25
D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae;D_3__Subgroup 7,43,146,130,150,10,19,11,96
D_0__Bacteria;D_1__Acidobacteria;D_2__Solibacteres;D_3__Solibacterales,220,153,114,167,328,200,137,181
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 11;D_3__uncultured bacterium,0,8,38,27,0,0,0,29
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17;__,5,0,65,44,0,37,0,41
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18;D_3__uncultured bacterium,0,0,0,5,0,0,0,12
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 20;D_3__uncultured bacterium,0,0,0,4,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22;__,0,0,12,31,0,0,0,38
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 25;D_3__uncultured bacterium,0,5,18,3,0,0,0,11
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 2;D_3__uncultured forest soil bacterium,1,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5;Ambiguous_taxa,0,32,0,0,0,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5;D_3__uncultured Acidobacteria bacterium,0,0,0,19,7,0,10,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 5;__,1,18,29,28,8,0,0,73
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;D_3__uncultured Acidobacteria bacterium,99,105,155,59,101,18,52,166
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;D_3__uncultured Acidobacteriales bacterium,1,0,22,0,13,0,0,0
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;D_3__uncultured Acidobacterium sp.,0,2,0,0,0,0,0,10
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6;__,505,1041,1502,1184,196,422,446,2211
D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 9;D_3__uncultured bacterium,0,0,18,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Acidimicrobiales,164,148,520,322,139,145,85,394
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales,5,10,38,12,83,32,18,41
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Frankiales,116,108,142,227,136,41,109,178
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Glycomycetales,0,10,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Kineosporiales,26,21,25,50,67,0,18,38
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales,854,879,353,329,439,211,706,670
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micromonosporales,30,8,29,63,59,52,53,75
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15,0,0,5,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales,438,387,573,395,467,235,525,650
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Pseudonocardiales,8,14,0,39,7,0,0,12
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptomycetales,176,225,40,169,98,103,0,174
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Streptosporangiales,68,178,4,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;__,0,2,0,0,20,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales,0,0,4,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;Ambiguous_taxa,0,0,15,17,0,0,0,45
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;D_3__uncultured actinobacterium,0,14,13,25,0,0,0,80
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;D_3__uncultured bacterium,0,4,0,4,0,0,0,18
D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108;__,0,0,226,144,0,8,0,86
D_0__Bacteria;D_1__Actinobacteria;D_2__TakashiAC-B11;D_3__uncultured bacterium,0,3,0,0,0,0,0,28
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales,67,22,379,340,139,76,124,645
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales,264,285,741,559,557,201,208,498
D_0__Bacteria;D_1__Armatimonadetes;D_2__Armatimonadia;D_3__Armatimonadales,12,0,0,0,0,24,40,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Chthonomonadetes;D_3__Chthonomonadales,9,0,4,5,13,0,27,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia;D_3__Fimbriimonadales,6,0,0,5,0,5,140,14
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured Armatimonadetes bacterium,0,0,0,0,3,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured bacterium,8,0,0,0,7,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured soil bacterium,0,0,0,0,1,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;__,5,3,0,0,13,0,0,0
D_0__Bacteria;D_1__BJ-169;D_2__uncultured bacterium;D_3__uncultured bacterium,8,20,0,0,0,0,0,2
